UnloadFont,,
ExportFontAsCode,,
DrawFPS,test,
DrawText,test,
DrawTextEx,,
DrawTextPro,,
DrawTextCodepoint,,
DrawTextCodepoints,,
SetTextLineSpacing,,
MeasureText,,
MeasureTextEx,,
MeasureTextCodepoints,,
GetGlyphIndex,,
GetGlyphInfo,,
GetGlyphAtlasRec,,
LoadUTF8,,
UnloadUTF8,,
LoadCodepoints,,
UnloadCodepoints,,
GetCodepointCount,,
GetCodepoint,,
GetCodepointNext,,
GetCodepointPrevious,,
CodepointToUTF8,,
LoadTextLines,,
UnloadTextLines,,
TextCopy,,
TextIsEqual,,
TextLength,,
TextFormat,,
TextSubtext,,
TextRemoveSpaces,,
GetTextBetween,,
TextReplace,,
TextReplaceAlloc,,
TextReplaceBetween,,
TextReplaceBetweenAlloc,,
TextInsert,,
TextInsertAlloc,,
TextJoin,,
TextSplit,,
TextAppend,,
TextFindIndex,,
TextToUpper,,
TextToLower,,
TextToPascal,,
TextToSnake,,
TextToCamel,,
TextToInteger,,
TextToFloat,,
DrawLine3D,,
DrawPoint3D,,
DrawCircle3D,,
DrawTriangle3D,,
DrawTriangleStrip3D,,
DrawCube,,
DrawCubeV,,
DrawCubeWires,,
DrawCubeWiresV,,
DrawSphere,,
DrawSphereEx,,
DrawSphereWires,,
DrawCylinder,,
DrawCylinderEx,,
DrawCylinderWires,,
DrawCylinderWiresEx,,
DrawCapsule,,
DrawCapsuleWires,,
DrawPlane,,
DrawRay,,
DrawGrid,,
LoadModel,,
LoadModelFromMesh,,
IsModelValid,,
UnloadModel,,
GetModelBoundingBox,,
DrawModel,,
DrawModelEx,,
DrawModelWires,,
DrawModelWiresEx,,
DrawBoundingBox,,
DrawBillboard,,
DrawBillboardRec,,
DrawBillboardPro,,
UploadMesh,,
UpdateMeshBuffer,,
UnloadMesh,,
DrawMesh,,
DrawMeshInstanced,,
GetMeshBoundingBox,,
GenMeshTangents,,
ExportMesh,,
ExportMeshAsCode,,
GenMeshPoly,,
GenMeshPlane,,
GenMeshCube,,
GenMeshSphere,,
GenMeshHemiSphere,,
GenMeshCylinder,,
GenMeshCone,,
GenMeshTorus,,
GenMeshKnot,,
GenMeshHeightmap,,
GenMeshCubicmap,,
LoadMaterials,,
LoadMaterialDefault,,
IsMaterialValid,,
UnloadMaterial,,
SetMaterialTexture,,
SetModelMeshMaterial,,
LoadModelAnimations,,
UpdateModelAnimation,,
UpdateModelAnimationEx,,
UnloadModelAnimations,,
IsModelAnimationValid,,
CheckCollisionSpheres,,
CheckCollisionBoxes,,
CheckCollisionBoxSphere,,
GetRayCollisionSphere,,
GetRayCollisionBox,,
GetRayCollisionMesh,,
GetRayCollisionTriangle,,
GetRayCollisionQuad,,
InitAudioDevice,sound,
CloseAudioDevice,sound,
IsAudioDeviceReady,sound,
SetMasterVolume,sound,
GetMasterVolume,sound,
LoadWave,sound,
LoadWaveFromMemory,sound,
IsWaveValid,sound,
LoadSound,sound,
LoadSoundFromWave,sound,
LoadSoundAlias,sound,
IsSoundValid,sound,
UpdateSound,sound,
UnloadWave,sound,
UnloadSound,sound,
UnloadSoundAlias,sound,
ExportWave,sound,
ExportWaveAsCode,sound,
PlaySound,sound,
StopSound,sound,
PauseSound,sound,
ResumeSound,sound,
IsSoundPlaying,sound,
SetSoundVolume,sound,
SetSoundPitch,sound,
SetSoundPan,sound,
WaveCopy,sound,
WaveCrop,sound,
WaveFormat,sound,
LoadWaveSamples,sound,
UnloadWaveSamples,sound,
LoadMusicStream,sound,
LoadMusicStreamFromMemory,sound,
IsMusicValid,sound,
UnloadMusicStream,sound,
PlayMusicStream,sound,
IsMusicStreamPlaying,sound,
UpdateMusicStream,sound,
StopMusicStream,sound,
PauseMusicStream,sound,
ResumeMusicStream,sound,
SeekMusicStream,sound,
SetMusicVolume,sound,
SetMusicPitch,sound,
SetMusicPan,sound,
GetMusicTimeLength,sound,
GetMusicTimePlayed,sound,
LoadAudioStream,sound,
IsAudioStreamValid,sound,
UnloadAudioStream,sound,
UpdateAudioStream,sound,
IsAudioStreamProcessed,sound,
PlayAudioStream,sound,
PauseAudioStream,sound,
ResumeAudioStream,sound,
IsAudioStreamPlaying,sound,
StopAudioStream,sound,
SetAudioStreamVolume,sound,
SetAudioStreamPitch,sound,
SetAudioStreamPan,sound,
SetAudioStreamBufferSizeDefault,sound,
SetAudioStreamCallback,sound,
AttachAudioStreamProcessor,sound,
DetachAudioStreamProcessor,sound,
AttachAudioMixedProcessor,sound,
DetachAudioMixedProcessor,sound,
